Forest,PlotNum,Year,Date,Quadrant,Common name,Scientific name,DBH_cm,X_coord,Y_coord,Comments
Kip tract,1,2021,15-Sep-21,2,Black cherry,Prunus serotina,13.2,,,
Kip tract,1,2021,15-Sep-21,2,Red maple,Acer rubrum,39.3,,,branched
Kip tract,1,2021,15-Sep-21,2,red maple,Acer rubrum,22.6,,,
Kip tract,1,2021,15-Sep-21,2,American beech,Fagus grandifolia,11,,,
Kip tract,1,2021,15-Sep-21,2,Red maple,Acer rubrum,29.9,,,
Kip tract,1,2021,15-Sep-21,2,Red maple,Acer rubrum,17.8,,,
Kip tract,1,2021,15-Sep-21,2,American beech,Fagus grandifolia,14.2,,,
Kip tract,1,2021,15-Sep-21,1,American beech,Fagus grandifolia,17.8,3,0.5,
Kip tract,1,2021,15-Sep-21,1,Red maple,Acer rubrum,26.4,2,4,
Kip tract,1,2021,15-Sep-21,1,Red maple,Acer rubrum,17.1,5,2,
Kip tract,1,2021,15-Sep-21,1,Red maple,Acer rubrum,15.4,4,8,
Kip tract,1,2021,15-Sep-21,1,Red maple,Acer rubrum,12.4,5,8,
Kip tract,1,2021,15-Sep-21,1,American beech,Fagus grandifolia,25.25,10,9,
Kip tract,1,2021,15-Sep-21,3,Red maple,Acer rubrum,76.8,,,two stems
Kip tract,1,2021,15-Sep-21,3,Red maple,Acer rubrum,12.8,,,
Kip tract,1,2021,15-Sep-21,3,Red maple,Acer rubrum,33.25,,,
Kip tract,1,2021,15-Sep-21,3,Red maple,Acer rubrum,14,,,
Kip tract,1,2021,15-Sep-21,3,Red maple,Acer rubrum,28.5,,,
Kip tract,1,2021,15-Sep-21,3,Red maple,Acer rubrum,25,,,
Kip tract,1,2021,15-Sep-21,4,Red maple,Acer rubrum,35.9,,,
Kip tract,1,2021,15-Sep-21,4,American beech,Fagus grandifolia,15.2,,,
Kip tract,1,2021,15-Sep-21,4,White pine,Pinus strobus,68.4,,,
Kip tract,1,2021,15-Sep-21,4,Red maple,Acer rubrum,22.6,,,
Kip tract,1,2021,15-Sep-21,4,Red maple,Acer rubrum,13.4,,,
Kip tract,2,2021,22-Sep-21,1,silver maple,Acer saccharinum,46.4,2,2.5,
Kip tract,2,2021,22-Sep-21,1,silver maple,Acer saccharinum,34.8,7,3,
Kip tract,2,2021,22-Sep-21,1,Red maple,Acer rubrum,12.8,9.5,1.5,
Kip tract,2,2021,22-Sep-21,1,silver maple,Acer saccharinum,41.8,9.75,1,
Kip tract,2,2021,22-Sep-21,1,silver maple,Acer saccharinum,48.8,9.5,8,
Kip tract,2,2021,22-Sep-21,1,silver maple,Acer saccharinum,14.4,6,8,
Kip tract,2,2021,22-Sep-21,1,silver maple,Acer saccharinum,17.2,2.5,3,
Kip tract,2,2021,22-Sep-21,2,silver maple,Acer saccharinum,19.8,,,
Kip tract,2,2021,22-Sep-21,2,American elm,Ulmus americana,16,,,
Kip tract,2,2021,22-Sep-21,2,red maple,Acer rubrum,31.4,,,
Kip tract,2,2021,22-Sep-21,2,sugar maple,Acer saccharum,19.3,,,
Kip tract,2,2021,22-Sep-21,3,black ash,Fraxinus nigra,28.3,,,
Kip tract,2,2021,22-Sep-21,3,red maple,Acer rubrum,12.2,,,
Kip tract,2,2021,22-Sep-21,3,black ash,Fraxinus nigra,18.8,,,
Kip tract,2,2021,22-Sep-21,4,silver maple,Acer saccharinum,84.9,,,
Kip tract,2,2021,22-Sep-21,4,silver maple,Acer saccharinum,35.4,,,
Kip tract,2,2021,22-Sep-21,4,black ash,Fraxinus nigra,19.7,,,
Kip tract,2,2021,22-Sep-21,4,silver maple,Acer saccharinum,32.3,,,
Kip tract,2,2021,22-Sep-21,4,silver maple,Acer saccharinum,24.2,,,
Kip tract,2,2021,22-Sep-21,4,silver maple,Acer saccharinum,14.7,,,
Kip tract,3,2021,22-Sep-21,1,Red maple,Acer rubrum,27.3,1,9.5,
Kip tract,3,2021,22-Sep-21,1,black ash,Fraxinus nigra,13.8,9,9,
Kip tract,3,2021,22-Sep-21,1,green ash,Fraxinus pennsylvanica,32.4,9.5,8,
Kip tract,3,2021,22-Sep-21,2,yellow birch,Betula alleghaniensis,12.7,,,
Kip tract,3,2021,22-Sep-21,2,basswood,Tilia americana,37.9,,,
Kip tract,3,2021,22-Sep-21,2,black ash,Fraxinus nigra,15.5,,,
Kip tract,3,2021,22-Sep-21,2,basswood,Tilia americana,29.7,,,
Kip tract,3,2021,22-Sep-21,2,ironwood,Ostrya virginiana,16.9,,,
Kip tract,3,2021,22-Sep-21,2,muscle wood,Carpinus carolineana,10,,,
Kip tract,3,2021,22-Sep-21,2,yellow birch,Betula alleghaniensis,29,,,
Kip tract,3,2021,22-Sep-21,2,yellow birch,Betula alleghaniensis,35,,,two stems
Kip tract,3,2021,22-Sep-21,2,yellow birch,Betula alleghaniensis,18.5,,,
Kip tract,3,2021,22-Sep-21,2,American elm,Ulmus americana,10.8,,,
Kip tract,3,2021,22-Sep-21,3,yellow birch,Betula alleghaniensis,25.5,,,
Kip tract,3,2021,22-Sep-21,3,green ash,Fraxinus pennsylvanica,36.6,,,
Kip tract,3,2021,22-Sep-21,3,American elm,Ulmus americana,14.5,,,
Kip tract,3,2021,22-Sep-21,4,yellow birch,Betula alleghaniensis,66.5,,,two stems
Kip tract,3,2021,22-Sep-21,4,American elm,Ulmus americana,12.6,,,
Kip tract,3,2021,22-Sep-21,4,ironwood,Ostrya virginiana,25.8,,,
Kip tract,3,2021,22-Sep-21,4,Red maple,Acer rubrum,32.1,,,
Kip tract,3,2021,22-Sep-21,4,yellow birch,Betula alleghaniensis,34.6,,,
Donnerville,1,2021,29-Sep-21,1,sugar maple,Acer saccharum,25.1,1,1,
Donnerville,1,2021,29-Sep-21,1,Red maple,Acer rubrum,18,1,7,
Donnerville,1,2021,29-Sep-21,1,sugar maple,Acer saccharum,17.1,1,8,
Donnerville,1,2021,29-Sep-21,1,sugar maple,Acer saccharum,16.3,4,6,
Donnerville,1,2021,29-Sep-21,1,sugar maple,Acer saccharum,14.4,4,4,
Donnerville,1,2021,29-Sep-21,1,Red maple,Acer rubrum,25.3,6,4,
Donnerville,1,2021,29-Sep-21,1,sugar maple,Acer saccharum,16.2,10,3,
Donnerville,1,2021,29-Sep-21,2,sugar maple,Acer saccharum,14,,,
Donnerville,1,2021,29-Sep-21,2,sugar maple,Acer saccharum,19.4,,,
Donnerville,1,2021,29-Sep-21,2,Red maple,Acer rubrum,79,,,
Donnerville,1,2021,29-Sep-21,3,sugar maple,Acer saccharum,23.2,,,
Donnerville,1,2021,29-Sep-21,3,sugar maple,Acer saccharum,16.6,,,
Donnerville,1,2021,29-Sep-21,3,Red maple,Acer rubrum,18.4,,,
Donnerville,1,2021,29-Sep-21,3,quaking aspen,Populus tremuloides,24.5,,,bigtooth aspen?
Donnerville,1,2021,29-Sep-21,3,white ash,Fraxinus americana,14.3,,,
Donnerville,1,2021,29-Sep-21,3,quaking aspen,Populus tremuloides,37,,,
Donnerville,1,2021,29-Sep-21,4,sugar maple,Acer saccharum,27.5,,,
Donnerville,1,2021,29-Sep-21,4,red maple,Acer rubrum,18.6,,,
Donnerville,1,2021,29-Sep-21,4,Red maple,Acer rubrum,19.4,,,
Donnerville,1,2021,29-Sep-21,4,Red maple,Acer rubrum,18.11,,,
Donnerville,2,2021,29-Sep-21,1,white ash,Fraxinus americana,19,1,1,
Donnerville,2,2021,29-Sep-21,1,Red maple,Acer rubrum,45.1,2,1,two stems
Donnerville,2,2021,29-Sep-21,1,juneberry,Amelanchier spp.,13.9,7,6,
Donnerville,2,2021,29-Sep-21,1,American beech,Fagus grandifolia,10.6,5,9,
Donnerville,2,2021,29-Sep-21,1,juneberry,Amelanchier spp.,18.8,5,9,
Donnerville,2,2021,29-Sep-21,2,juneberry,Amelanchier spp.,11.9,,,
Donnerville,2,2021,29-Sep-21,2,Red maple,Acer rubrum,22,,,
Donnerville,2,2021,29-Sep-21,2,Red maple,Acer rubrum,50.4,,,two stems
Donnerville,2,2021,29-Sep-21,2,juneberry,Amelanchier spp.,11.2,,,
Donnerville,2,2021,29-Sep-21,2,Black cherry,Prunus serotina,33.5,,,
Donnerville,2,2021,29-Sep-21,3,white ash,Fraxinus americana,24.3,,,
Donnerville,2,2021,29-Sep-21,3,red maple,Acer rubrum,13.3,,,
Donnerville,2,2021,29-Sep-21,3,black cherry,Prunus serotina,9.9,,,
Donnerville,2,2021,29-Sep-21,3,black cherry,Prunus serotina,35.9,,,
Donnerville,2,2021,29-Sep-21,3,red maple,Acer rubrum,102.6,,,three stems; had to measure above DBH height
Donnerville,2,2021,29-Sep-21,3,American beech,Fagus grandifolia,14.6,,,
Donnerville,2,2021,29-Sep-21,4,sugar maple,Acer saccharum,32.4,,,
Donnerville,2,2021,29-Sep-21,4,sugar maple,Acer saccharum,13.3,,,
Donnerville,2,2021,29-Sep-21,4,American beech,Fagus grandifolia,14.7,,,
Donnerville,2,2021,29-Sep-21,4,sugar maple,Acer saccharum,21.8,,,
Donnerville,2,2021,29-Sep-21,4,black cherry,Prunus serotina,31.6,,,
Donnerville,2,2021,29-Sep-21,4,juneberry,Amelanchier spp.,11.2,,,
Donnerville,2,2021,29-Sep-21,4,sugar maple,Acer saccharum,10.7,,,
Donnerville,2,2021,29-Sep-21,4,American beech,Fagus grandifolia,10.3,,,
Donnerville,3,2021,29-Sep-21,1,sugar maple,Acer saccharum,33.9,5,7,
Donnerville,3,2021,29-Sep-21,1,sugar maple,Acer saccharum,46.3,5,0.5,
Donnerville,3,2021,29-Sep-21,1,sugar maple,Acer saccharum,12.8,2,6,
Donnerville,3,2021,29-Sep-21,1,American beech,Fagus grandifolia,13.2,4,2,
Donnerville,3,2021,29-Sep-21,1,yellow birch,Betula alleghaniensis,20.2,8,1,
Donnerville,3,2021,29-Sep-21,1,yellow birch,Betula alleghaniensis,26.5,8,1,
Donnerville,3,2021,29-Sep-21,2,sugar maple,Acer saccharum,14.4,,,
Donnerville,3,2021,29-Sep-21,2,black cherry,Prunus serotina,34.4,,,
Donnerville,3,2021,29-Sep-21,2,sugar maple,Acer saccharum,67.5,,,two stems
Donnerville,3,2021,29-Sep-21,2,ironwood,Ostrya virginiana,12.9,,,
Donnerville,3,2021,29-Sep-21,4,sugar maple,Acer saccharum,13.6,,,
Donnerville,3,2021,29-Sep-21,4,sugar maple,Acer saccharum,11.2,,,
Donnerville,3,2021,29-Sep-21,3,sugar maple,Acer saccharum,17.8,,,
Donnerville,3,2021,29-Sep-21,3,yellow birch,Betula alleghaniensis,39,,,
Donnerville,3,2021,29-Sep-21,3,sugar maple,Acer saccharum,16.2,,,
Donnerville,3,2021,29-Sep-21,3,sugar maple,Acer saccharum,11.9,,,
South Hammond,1,2021,6-Oct-21,1,Red maple,Acer rubrum,13.8,4,4,
South Hammond,1,2021,6-Oct-21,1,Red maple,Acer rubrum,24.1,8,4,2 stems
South Hammond,1,2021,6-Oct-21,1,red oak,Quercus rubra,15.4,4,5,
South Hammond,1,2021,6-Oct-21,1,red oak,Quercus rubra,11.3,8,6,
South Hammond,1,2021,6-Oct-21,1,red oak,Quercus rubra,15.9,5,8,
South Hammond,1,2021,6-Oct-21,1,red maple,Acer rubrum,49,9,6,3 stems
South Hammond,1,2021,6-Oct-21,2,red oak,Quercus rubra,29.2,,,
South Hammond,1,2021,6-Oct-21,2,red oak,Quercus rubra,24.4,,,2 stems
South Hammond,1,2021,6-Oct-21,2,red oak,Quercus rubra,22.1,,,
South Hammond,1,2021,6-Oct-21,2,white pine,Pinus strobus,38.6,,,
South Hammond,1,2021,6-Oct-21,2,white pine,Pinus strobus,10.3,,,
South Hammond,1,2021,6-Oct-21,2,red oak,Quercus rubra,14.1,,,
South Hammond,1,2021,6-Oct-21,3,red oak,Quercus rubra,20.2,,,
South Hammond,1,2021,6-Oct-21,3,red oak,Quercus rubra,14.4,,,
South Hammond,1,2021,6-Oct-21,3,red oak,Quercus rubra,13.5,,,
South Hammond,1,2021,6-Oct-21,3,red oak,Quercus rubra,10.9,,,
South Hammond,1,2021,6-Oct-21,3,red oak,Quercus rubra,10.1,,,
South Hammond,1,2021,6-Oct-21,3,white oak,Quercus alba,18.2,,,
South Hammond,1,2021,6-Oct-21,3,red oak,Quercus rubra,13.6,,,
South Hammond,1,2021,6-Oct-21,3,white ash,Fraxinus americana,15.9,,,
South Hammond,1,2021,6-Oct-21,4,white pine,Pinus strobus,44.5,,,
South Hammond,1,2021,6-Oct-21,4,red oak,Quercus rubra,18.3,,,
South Hammond,1,2021,6-Oct-21,4,white oak,Quercus alba,11.3,,,
South Hammond,1,2021,6-Oct-21,4,red oak,Quercus rubra,10,,,
South Hammond,2,2021,13-Oct-21,1,red oak,Quercus rubra,30.75,9,4,
South Hammond,2,2021,13-Oct-21,1,white pine,Pinus strobus,22.8,4,2,
South Hammond,2,2021,13-Oct-21,1,red oak,Quercus rubra,22.4,3,1,
South Hammond,2,2021,13-Oct-21,1,musclewood,Carpinus carolineana,16.6,0.5,4,listed as Carpinus carolineana and hophornbeam. Going with sci name
South Hammond,2,2021,13-Oct-21,1,white oak,Quercus alba,11.8,2,8,
South Hammond,2,2021,13-Oct-21,4,red oak,Quercus rubra,55.7,,,two stems
South Hammond,2,2021,13-Oct-21,4,red oak,Quercus rubra,15.4,,,
South Hammond,2,2021,13-Oct-21,4,white pine,Pinus strobus,36.5,,,two stems
South Hammond,2,2021,13-Oct-21,4,red oak,Quercus rubra,11.2,,,
South Hammond,2,2021,13-Oct-21,4,red oak,Quercus rubra,18.7,,,
South Hammond,2,2021,13-Oct-21,4,red oak,Quercus rubra,11.7,,,
South Hammond,2,2021,13-Oct-21,3,red oak,Quercus rubra,28.6,,,
South Hammond,2,2021,13-Oct-21,3,white pine,Pinus strobus,17.7,,,
South Hammond,2,2021,13-Oct-21,3,red oak,Quercus rubra,18.3,,,
South Hammond,2,2021,13-Oct-21,3,red oak,Quercus rubra,37.7,,,
South Hammond,2,2021,13-Oct-21,3,red oak,Quercus rubra,17.2,,,
South Hammond,2,2021,13-Oct-21,3,white pine,Pinus strobus,27.2,,,
South Hammond,2,2021,13-Oct-21,3,white pine,Pinus strobus,10.2,,,
South Hammond,2,2021,13-Oct-21,3,red oak,Quercus rubra,34,,,
South Hammond,2,2021,13-Oct-21,2,white pine,Pinus strobus,20.7,,,
South Hammond,2,2021,13-Oct-21,2,white ash,Fraxinus americana,24,,,
South Hammond,2,2021,13-Oct-21,2,ironwood,Ostrya virginiana,10.5,,,
South Hammond,2,2021,13-Oct-21,2,white pine,Pinus strobus,16.5,,,
South Hammond,3,2021,13-Oct-21,1,black cherry,Prunus serotina,15.4,3,1,
South Hammond,3,2021,13-Oct-21,1,shagbark hickory,Carya ovata,13.5,7,1,
South Hammond,3,2021,13-Oct-21,1,white pine,Pinus strobus,10.4,4,8,
South Hammond,3,2021,13-Oct-21,1,juneberry,Amelanchier spp.,16.3,3,5,
South Hammond,3,2021,13-Oct-21,1,white pine,Pinus strobus,29.5,1,6,
South Hammond,3,2021,13-Oct-21,1,white oak,Quercus alba,10.7,2,9,
South Hammond,3,2021,13-Oct-21,4,red oak,Quercus rubra,10.6,,,
South Hammond,3,2021,13-Oct-21,4,white oak,Quercus alba,50.7,,,two stems
South Hammond,3,2021,13-Oct-21,4,white ash,Fraxinus americana,14.6,,,
South Hammond,3,2021,13-Oct-21,4,white oak,Quercus alba,26,,,
South Hammond,3,2021,13-Oct-21,4,white pine,Pinus strobus,12.5,,,
South Hammond,3,2021,13-Oct-21,4,red oak,Quercus rubra,26.9,,,
South Hammond,3,2021,13-Oct-21,4,red oak,Quercus rubra,20.7,,,
South Hammond,3,2021,13-Oct-21,4,red oak,Quercus rubra,17.6,,,
South Hammond,3,2021,13-Oct-21,3,white pine,Pinus strobus,15.4,,,
South Hammond,3,2021,13-Oct-21,3,red oak,Quercus rubra,39,,,
South Hammond,3,2021,13-Oct-21,3,red oak,Quercus rubra,29.5,,,
South Hammond,3,2021,13-Oct-21,3,white pine,Pinus strobus,23,,,
South Hammond,3,2021,13-Oct-21,3,red oak,Quercus rubra,11.7,,,
South Hammond,3,2021,13-Oct-21,3,shagbark hickory,Carya ovata,12.5,,,
South Hammond,3,2021,13-Oct-21,2,red oak,Quercus rubra,41.5,,,
South Hammond,3,2021,13-Oct-21,2,white pine,Pinus strobus,19,,,
South Hammond,3,2021,13-Oct-21,2,white pine,Pinus strobus,14.6,,,
South Hammond,3,2021,13-Oct-21,2,white pine,Pinus strobus,12.8,,,
South Hammond,3,2021,13-Oct-21,2,white pine,Pinus strobus,19.3,,,
South Hammond,3,2021,13-Oct-21,2,red oak,Quercus rubra,18.3,,,
South Hammond,3,2021,13-Oct-21,2,juneberry,Amelanchier spp.,35.1,,,
South Hammond,3,2021,13-Oct-21,2,juneberry,Amelanchier spp.,10.3,,,
